
feature: handsdown	DF[0]:5	DF[1]:1	DF[2]:0	DF[3]:2	DF[4]:11	TTF[0]:5	TTF[1]:1	TTF[2]:0	TTF[3]:2	TTF[4]:11
feature: singular	DF[0]:1	DF[1]:0	DF[2]:2	DF[3]:11	DF[4]:5	TTF[0]:1	TTF[1]:0	TTF[2]:2	TTF[3]:15	TTF[4]:5
feature: screensav	DF[0]:4	DF[1]:0	DF[2]:6	DF[3]:16	DF[4]:37	TTF[0]:4	TTF[1]:0	TTF[2]:6	TTF[3]:17	TTF[4]:43
feature: fire	DF[0]:1048	DF[1]:839	DF[2]:1145	DF[3]:2739	DF[4]:11785	TTF[0]:1813	TTF[1]:1642	TTF[2]:2685	TTF[3]:7585	TTF[4]:24053
feature: wii	DF[0]:4	DF[1]:1	DF[2]:4	DF[3]:7	DF[4]:31	TTF[0]:4	TTF[1]:1	TTF[2]:4	TTF[3]:7	TTF[4]:34
feature: pen	DF[0]:78	DF[1]:85	DF[2]:121	DF[3]:318	DF[4]:1143	TTF[0]:115	TTF[1]:172	TTF[2]:249	TTF[3]:663	TTF[4]:1777
feature: ipadmi	DF[0]:0	DF[1]:4	DF[2]:3	DF[3]:2	DF[4]:15	TTF[0]:0	TTF[1]:4	TTF[2]:3	TTF[3]:2	TTF[4]:15
feature: havnt	DF[0]:12	DF[1]:1	DF[2]:1	DF[3]:5	DF[4]:28	TTF[0]:13	TTF[1]:1	TTF[2]:1	TTF[3]:7	TTF[4]:28
feature: macintosh	DF[0]:0	DF[1]:3	DF[2]:3	DF[3]:1	DF[4]:11	TTF[0]:0	TTF[1]:3	TTF[2]:3	TTF[3]:1	TTF[4]:13
feature: 399	DF[0]:14	DF[1]:13	DF[2]:15	DF[3]:37	DF[4]:159	TTF[0]:14	TTF[1]:15	TTF[2]:17	TTF[3]:38	TTF[4]:173
feature: archiv	DF[0]:7	DF[1]:1	DF[2]:9	DF[3]:32	DF[4]:72	TTF[0]:7	TTF[1]:1	TTF[2]:9	TTF[3]:35	TTF[4]:110
feature: senior	DF[0]:14	DF[1]:9	DF[2]:17	DF[3]:66	DF[4]:178	TTF[0]:22	TTF[1]:9	TTF[2]:17	TTF[3]:76	TTF[4]:203
feature: lunch	DF[0]:8	DF[1]:11	DF[2]:13	DF[3]:34	DF[4]:127	TTF[0]:9	TTF[1]:11	TTF[2]:14	TTF[3]:37	TTF[4]:128
feature: slingbox	DF[0]:0	DF[1]:1	DF[2]:3	DF[3]:11	DF[4]:15	TTF[0]:0	TTF[1]:2	TTF[2]:4	TTF[3]:11	TTF[4]:23
feature: acquisit	DF[0]:1	DF[1]:0	DF[2]:4	DF[3]:13	DF[4]:18	TTF[0]:1	TTF[1]:0	TTF[2]:4	TTF[3]:14	TTF[4]:18
feature: calendar	DF[0]:37	DF[1]:35	DF[2]:77	DF[3]:231	DF[4]:644	TTF[0]:53	TTF[1]:52	TTF[2]:137	TTF[3]:332	TTF[4]:861
feature: rica	DF[0]:4	DF[1]:0	DF[2]:0	DF[3]:3	DF[4]:6	TTF[0]:4	TTF[1]:0	TTF[2]:0	TTF[3]:3	TTF[4]:6
feature: heavyweight	DF[0]:4	DF[1]:0	DF[2]:0	DF[3]:3	DF[4]:6	TTF[0]:4	TTF[1]:0	TTF[2]:0	TTF[3]:3	TTF[4]:6
feature: middleag	DF[0]:0	DF[1]:3	DF[2]:0	DF[3]:4	DF[4]:6	TTF[0]:0	TTF[1]:3	TTF[2]:0	TTF[3]:4	TTF[4]:6
feature: sheild	DF[0]:0	DF[1]:0	DF[2]:4	DF[3]:3	DF[4]:6	TTF[0]:0	TTF[1]:0	TTF[2]:4	TTF[3]:3	TTF[4]:6
feature: 265	DF[0]:3	DF[1]:0	DF[2]:0	DF[3]:6	DF[4]:4	TTF[0]:3	TTF[1]:0	TTF[2]:0	TTF[3]:6	TTF[4]:4
feature: bmw	DF[0]:6	DF[1]:0	DF[2]:0	DF[3]:3	DF[4]:4	TTF[0]:8	TTF[1]:0	TTF[2]:0	TTF[3]:3	TTF[4]:4
feature: 8gig	DF[0]:0	DF[1]:0	DF[2]:3	DF[3]:6	DF[4]:4	TTF[0]:0	TTF[1]:0	TTF[2]:3	TTF[3]:6	TTF[4]:4
